	SUB116449	SUB134237	SUB134238	SUB134239	SUB134240	SUB134241	SUB134242	SUB134243	SUB134244	SUB134247	SUB134248	SUB134249	SUB134251	SUB134252	SUB134254	SUB134255	SUB134256	SUB134257	SUB134258	SUB134259	SUB134260	SUB134261	SUB134262	SUB134264	SUB134266	SUB134267	SUB134269	SUB134270	SUB134272	SUB134273	SUB134274	SUB134275	SUB134276	SUB134278	SUB134279	SUB134280	SUB134281	SUB134282	SUB134283	SUB134285	SUB134286	SUB134287	SUB134288	SUB134289	SUB134290	SUB134292	SUB134293	SUB134294	SUB134295	SUB134296	SUB134297	SUB134298	SUB134299	SUB134300	SUB134301	SUB134302	SUB134304	SUB134307	SUB134308	SUB134309	SUB134310	SUB134312	SUB134315	SUB134317	SUB134318	SUB134319	SUB134320	SUB134321	SUB134322	SUB134323	SUB134325	SUB134326	SUB135092	SUB135093	SUB143422
B cells	0.1310	0.0685	0.0914	0.0991	0.2921	0.0265	0.1193	0.0513	0.0516	0.0689	0.0737	0.1252	0.0783	0.1365	0.0643	0.0371	0.0621	0.0400	0.0832	0.0504	0.0772	0.1328	0.0577	0.0821	0.0583	0.0780	0.1183	0.1940	0.0380	0.0805	0.0385	0.0137	0.0223	0.0432	0.1000	0.0752	0.0358	0.0769	0.3689	0.0618	0.0815	0.0357	0.0036	0.0212	0.1023	0.0730	0.0999	0.0649	0.0365	0.0425	0.0472	0.0301	0.0394	0.0876	0.0783	0.1521	0.1335	0.1426	0.1345	0.0564	0.0667	0.0666	0.0494	0.1289	0.0289	0.0607	0.0739	0.0865	0.0720	0.0615	0.0637	0.0755	0.0501	0.0906	NaN
CD16- monocytes	0.1339	0.0476	0.1771	0.0467	0.1618	0.0827	0.2998	0.0624	0.1567	0.0789	0.1095	0.0535	0.0755	0.1072	0.2169	0.3219	0.0857	0.1993	0.1643	0.0873	0.0766	0.1986	0.0887	0.1513	0.1490	0.0957	0.1246	0.1205	0.1979	0.1798	0.0832	0.1006	0.1581	0.0640	0.1088	0.0987	0.2228	0.1214	0.0018	0.1693	0.2605	0.2453	0.1304	0.1082	0.1486	0.0430	0.0426	0.2234	0.0335	0.1021	0.1100	0.0834	0.1513	0.1493	0.1960	0.2512	0.0914	0.1562	0.1018	0.0591	0.1242	0.0491	0.0882	0.1991	0.0790	0.0566	0.2417	0.0685	0.0906	0.0814	0.0437	0.0916	0.1596	0.2621	NaN
CD16+ monocytes	0.0032	0.0010	0.0061	0.0010	0.0045	0.0048	0.0086	0.0005	0.0061	0.0030	0.0059	0.0026	0.0015	0.0043	0.0075	0.0137	0.0039	0.0087	0.0068	0.0031	0.0013	0.0061	0.0022	0.0039	0.0038	0.0041	0.0028	0.0030	0.0073	0.0030	0.0004	0.0007	0.0044	0.0021	0.0041	0.0018	0.0027	0.0044	0.0001	0.0027	0.0086	0.0081	0.0033	0.0047	0.0027	0.0006	0.0010	0.0051	0.0006	0.0023	0.0019	0.0007	0.0027	0.0045	0.0060	0.0049	0.0024	0.0024	0.0006	0.0004	0.0057	0.0011	0.0014	0.0033	0.0017	0.0009	0.0098	0.0003	0.0020	0.0014	0.0006	0.0031	0.0043	0.0021	NaN
CD4+ T cells	0.3187	0.3085	0.3329	0.4573	0.1489	0.3622	0.1605	0.4220	0.2712	0.3432	0.3235	0.3322	0.4351	0.1854	0.1333	0.1401	0.2828	0.1703	0.3791	0.1924	0.3232	0.3347	0.3872	0.2515	0.2509	0.3615	0.3247	0.2557	0.1646	0.3128	0.4298	0.2341	0.2566	0.4182	0.2754	0.3264	0.2022	0.2143	0.1498	0.1951	0.1138	0.1787	0.2955	0.3370	0.3424	0.3671	0.2042	0.2068	0.1427	0.0927	0.2518	0.4694	0.2573	0.2748	0.1482	0.2677	0.2439	0.2702	0.1934	0.1907	0.4809	0.3419	0.3678	0.2231	0.3778	0.3357	0.1011	0.2828	0.3416	0.3066	0.3300	0.2863	0.1909	0.2488	NaN
CD8+ T cells	0.0491	0.1822	0.0613	0.1024	0.0421	0.1653	0.0476	0.0534	0.2111	0.0283	0.1400	0.2070	0.1593	0.1782	0.0097	0.1511	0.1363	0.1578	0.0415	0.2658	0.2407	0.0830	0.1268	0.1460	0.0905	0.1371	0.0671	0.0684	0.0937	0.0448	0.0553	0.1524	0.0803	0.0486	0.0402	0.0297	0.1299	0.0678	0.0115	0.1114	0.0683	0.0488	0.0381	0.1366	0.0455	0.0767	0.1868	0.1316	0.0237	0.0354	0.2092	0.0467	0.1797	0.0591	0.0572	0.0658	0.1691	0.1845	0.0055	0.0852	0.0378	0.1984	0.0606	0.0280	0.1107	0.1303	0.1151	0.0928	0.1719	0.1361	0.0428	0.0986	0.2592	0.1283	NaN
central memory CD4+ T cells	0.1609	0.1646	0.0693	0.2542	0.0400	0.1661	0.0605	0.2530	0.1893	0.1440	0.1401	0.1263	0.0997	0.0944	0.0404	0.0884	0.1061	0.0419	0.0634	0.0495	0.1134	0.2392	0.1373	0.1387	0.0865	0.2093	0.1099	0.0690	0.0690	0.1400	0.3129	0.0788	0.1120	0.3421	0.0403	0.0975	0.1164	0.0577	0.0424	0.0649	0.0307	0.0542	0.1614	0.2192	0.0882	0.2750	0.1307	0.1059	0.0754	0.0298	0.0945	0.3785	0.1878	0.1899	0.0457	0.1473	0.0960	0.1123	0.0865	0.1183	0.3479	0.1389	0.0991	0.0907	0.2514	0.1975	0.0220	0.0792	0.0416	0.0898	0.1368	0.1792	0.0603	0.0715	NaN
central memory CD8+ T cells	0.0075	0.0081	0.0150	0.0100	0.0078	0.0099	0.0064	0.0038	0.0017	0.0028	0.0162	0.0205	0.0215	0.0137	0.0001	0.0037	0.0424	0.0003	0.0088	0.0035	0.0094	0.0038	0.0075	0.0002	0.0161	0.0017	0.0100	0.0156	0.0022	0.0073	0.0040	0.0036	0.0001	0.0050	0.0012	0.0026	0.0005	0.0126	0.0028	0.0003	0.0062	0.0044	0.0045	0.0012	0.0024	0.0054	0.0085	0.0046	0.0002	0.0001	0.0007	0.0050	0.0019	0.0076	0.0001	0.0102	0.0217	0.0113	0.0000	0.0036	0.0037	0.0002	0.0075	0.0001	0.0118	0.0118	0.0034	0.0138	0.0075	0.0206	0.0070	0.0113	0.0481	0.0084	NaN
effector CD4+ T cells	0.0124	0.0026	0.0359	0.0022	0.0192	0.0082	0.0081	0.0044	0.0024	0.0136	0.0125	0.0056	0.0503	0.0044	0.0175	0.0033	0.0200	0.0162	0.0559	0.0257	0.0219	0.0023	0.0202	0.0063	0.0250	0.0062	0.0284	0.0344	0.0056	0.0038	0.0022	0.0137	0.0051	0.0043	0.0057	0.0291	0.0032	0.0261	0.0018	0.0126	0.0132	0.0141	0.0124	0.0044	0.0358	0.0033	0.0045	0.0074	0.0040	0.0063	0.0123	0.0038	0.0014	0.0008	0.0049	0.0054	0.0012	0.0076	0.0090	0.0007	0.0035	0.0178	0.0403	0.0167	0.0061	0.0064	0.0150	0.0249	0.0911	0.0245	0.0231	0.0052	0.0130	0.0181	NaN
effector CD8+ T cells	0.0074	0.0431	0.0085	0.0179	0.0072	0.0302	0.0101	0.0191	0.1592	0.0043	0.0368	0.0162	0.0201	0.0600	0.0028	0.0441	0.0134	0.0613	0.0087	0.1393	0.0273	0.0174	0.0244	0.0507	0.0165	0.0532	0.0106	0.0078	0.0113	0.0098	0.0070	0.0531	0.0278	0.0067	0.0090	0.0070	0.0404	0.0138	0.0010	0.0253	0.0301	0.0194	0.0125	0.0869	0.0211	0.0098	0.0474	0.0286	0.0031	0.0220	0.0324	0.0120	0.0279	0.0093	0.0105	0.0058	0.0333	0.0361	0.0015	0.0264	0.0049	0.1419	0.0219	0.0138	0.0236	0.0334	0.0689	0.0079	0.0419	0.0117	0.0067	0.0110	0.0550	0.0525	NaN
effector memory CD4+ T cells	0.0720	0.0361	0.0430	0.0349	0.0532	0.0248	0.0622	0.0368	0.0729	0.0407	0.0985	0.0375	0.1246	0.0552	0.0254	0.0410	0.1106	0.1010	0.0406	0.0755	0.1298	0.0701	0.1605	0.0868	0.0860	0.1308	0.0780	0.0759	0.0690	0.1636	0.0912	0.0331	0.1293	0.0338	0.2261	0.0607	0.0755	0.1003	0.1042	0.0905	0.0250	0.0797	0.0639	0.1012	0.0887	0.0479	0.0325	0.0560	0.0461	0.0439	0.1124	0.0336	0.0630	0.0801	0.0931	0.0428	0.1452	0.0526	0.0766	0.0690	0.0822	0.0931	0.1793	0.0715	0.0693	0.0512	0.0248	0.0474	0.0883	0.0722	0.1085	0.0509	0.0540	0.0788	NaN
