	SUB137169	SUB137172	SUB137208	SUB137209	SUB137220	SUB137224	SUB137269	SUB137270	SUB137272	SUB137273	SUB137274	SUB137277	SUB137283	SUB137284	SUB137286	SUB137289	SUB137290	SUB137292	SUB137300	SUB137301	SUB137302	SUB137304	SUB137305	SUB137307	SUB137309	SUB137312	SUB137314	SUB137315	SUB137322	SUB137323	SUB137325	SUB137326	SUB137327	SUB137328	SUB137329	SUB137340	SUB137343	SUB137344	SUB137354	SUB137358	SUB137361	SUB137381	SUB137383	SUB137388	SUB137394	SUB137403	SUB137407	SUB137409	SUB137411	SUB137412	SUB137415	SUB137416	SUB137419	SUB137420	SUB137423	SUB137426	SUB137428	SUB137430	SUB137436	SUB137439	SUB137440	SUB137443	SUB137445	SUB137448	SUB137452	SUB137455	SUB137456	SUB137469	SUB137479	SUB137486	SUB137493	SUB137584	SUB137600	SUB137601	SUB137636	SUB137647	SUB137653	SUB137667	SUB137681	SUB137684	SUB137699	SUB137703	SUB137712	SUB137716	SUB137719	SUB137728	SUB137734	SUB137736	SUB137740	SUB137746	SUB137749	SUB137750	SUB137772	SUB137786	SUB137812	SUB137824	SUB137842	SUB137848	SUB137863	SUB137865	SUB137866	SUB137871	SUB137887	SUB137889
B cells	0.0710	0.1342	0.1344	0.0858	0.0493	0.0626	0.1389	0.1244	0.0748	0.1148	0.0115	0.1282	0.1185	0.0698	0.0653	0.0910	0.0363	0.1343	0.0649	0.1130	0.1997	0.0931	0.1481	0.0898	0.0573	0.1415	0.1146	0.0503	0.1074	0.1403	0.0601	0.0918	0.1166	0.1732	0.0770	0.0899	0.0358	0.0627	0.0643	0.0335	0.0319	0.0744	0.0395	0.1081	0.0934	0.0672	0.0500	0.0794	0.0522	0.0292	0.0612	0.1957	0.0966	0.0718	0.0783	0.1348	0.0182	0.0118	0.3207	0.1234	0.0567	0.1038	0.0711	0.0502	0.1129	0.2056	0.0334	0.0926	0.1724	0.0413	0.0533	0.0427	0.0977	0.0678	0.0567	0.0551	0.0767	0.0233	0.0855	0.0434	0.1173	0.0761	0.0649	0.0197	0.0789	0.1300	0.1194	0.0379	0.0649	0.1242	0.0464	0.0191	0.1253	0.0610	0.1284	0.0207	0.1099	0.0492	0.1023	0.1411	0.1513	0.1434	0.0164	0.0901
CD16- monocytes	0.1430	0.1695	0.2324	0.2006	0.1600	0.1663	0.1320	0.0648	0.1719	0.1913	0.2402	0.1103	0.1419	0.3141	0.0870	0.1787	0.1950	0.1027	0.4526	0.2076	0.2481	0.1418	0.1348	0.2430	0.1187	0.1409	0.1752	0.3484	0.1134	0.2367	0.1878	0.3895	0.1712	0.1582	0.1758	0.1813	0.3498	0.1258	0.1444	0.2708	0.2107	0.1707	0.2042	0.1805	0.1391	0.0969	0.1876	0.1904	0.1187	0.2078	0.3092	0.0963	0.0786	0.1474	0.1007	0.2124	0.1875	0.3686	0.0780	0.2285	0.1030	0.3311	0.2535	0.2152	0.1599	0.1291	0.0953	0.1066	0.1003	0.1242	0.0848	0.3317	0.0357	0.3097	0.1209	0.0966	0.1325	0.2875	0.1987	0.1458	0.2856	0.1668	0.1720	0.1643	0.0568	0.0634	0.1412	0.1071	0.2087	0.2356	0.1156	0.1635	0.2030	0.2482	0.1783	0.2031	0.1042	0.1205	0.1331	0.0994	0.0804	0.2072	0.1970	0.1727
CD16+ monocytes	0.0080	0.0155	0.0101	0.0114	0.0089	0.0136	0.0131	0.0071	0.0082	0.0047	0.0149	0.0027	0.0041	0.0028	0.0055	0.0073	0.0141	0.0033	0.0069	0.0034	0.0071	0.0040	0.0156	0.0017	0.0115	0.0048	0.0127	0.0176	0.0265	0.0045	0.0083	0.0035	0.0097	0.0328	0.0054	0.0167	0.0081	0.0042	0.0076	0.0078	0.0063	0.0105	0.0128	0.0104	0.0139	0.0051	0.0154	0.0216	0.0078	0.0102	0.0219	0.0107	0.0039	0.0095	0.0101	0.0116	0.0215	0.0114	0.0067	0.0085	0.0090	0.0248	0.0212	0.0078	0.0061	0.0079	0.0046	0.0054	0.0068	0.0118	0.0033	0.0255	0.0028	0.0092	0.0131	0.0044	0.0155	0.0368	0.0054	0.0062	0.0153	0.0192	0.0050	0.0067	0.0070	0.0114	0.0049	0.0050	0.0133	0.0113	0.0074	0.0109	0.0320	0.0129	0.0187	0.0108	0.0028	0.0095	0.0029	0.0025	0.0077	0.0099	0.0109	0.0053
CD4+ T cells	0.4138	0.2014	0.2301	0.2718	0.2618	0.3320	0.3721	0.1704	0.1806	0.3093	0.2376	0.3210	0.2254	0.1629	0.4734	0.4675	0.1558	0.2564	0.0693	0.1927	0.1811	0.2448	0.1441	0.1996	0.3512	0.3168	0.0791	0.0667	0.3895	0.2466	0.3434	0.1173	0.1787	0.2109	0.3637	0.2012	0.0858	0.2385	0.2437	0.2275	0.2023	0.3739	0.2953	0.1839	0.3600	0.2933	0.3590	0.3990	0.3936	0.2348	0.3213	0.3161	0.6195	0.3811	0.3968	0.2797	0.1471	0.2057	0.1749	0.2659	0.3811	0.1916	0.1732	0.3275	0.3506	0.2847	0.4727	0.2761	0.3761	0.4330	0.4652	0.2683	0.3798	0.3078	0.4925	0.5477	0.3554	0.1658	0.3508	0.1830	0.3160	0.2213	0.2658	0.5212	0.3199	0.3665	0.3766	0.3096	0.2167	0.1489	0.2087	0.5310	0.2892	0.2657	0.2982	0.3497	0.3449	0.4838	0.1799	0.3537	0.3294	0.2836	0.4988	0.3980
CD8+ T cells	0.1895	0.1304	0.0866	0.1613	0.2549	0.0947	0.1096	0.1448	0.1015	0.0367	0.1457	0.1367	0.1253	0.0446	0.1949	0.0390	0.1090	0.1415	0.0253	0.0769	0.0438	0.1566	0.2444	0.1644	0.1652	0.0716	0.1033	0.1185	0.1194	0.0341	0.1139	0.0196	0.1197	0.1465	0.1067	0.1807	0.1186	0.2040	0.1496	0.1151	0.1319	0.0717	0.0979	0.1124	0.0576	0.1064	0.0893	0.0543	0.0991	0.2215	0.0736	0.0401	0.0068	0.0330	0.1578	0.0552	0.1678	0.1081	0.1996	0.0779	0.1485	0.0412	0.1980	0.0725	0.1897	0.0610	0.0816	0.2921	0.0569	0.2307	0.1371	0.0730	0.1796	0.0320	0.1726	0.0881	0.1155	0.1444	0.1336	0.4446	0.0520	0.2525	0.1871	0.1138	0.3026	0.1916	0.1585	0.3376	0.1872	0.0878	0.3265	0.0594	0.1451	0.0682	0.1418	0.1811	0.2229	0.1347	0.1462	0.1302	0.1496	0.0814	0.0868	0.1347
central memory CD4+ T cells	0.1080	0.0763	0.1301	0.0775	0.1108	0.1371	0.1075	0.0586	0.0555	0.0829	0.0449	0.1021	0.0476	0.0355	0.1491	0.2188	0.0059	0.0992	0.0102	0.0283	0.0556	0.1023	0.0473	0.0359	0.2163	0.0634	0.0229	0.0227	0.0721	0.1085	0.0821	0.0472	0.0368	0.0344	0.0906	0.0188	0.0202	0.0859	0.1177	0.1242	0.0210	0.1922	0.1491	0.0828	0.2228	0.1241	0.2183	0.0455	0.0298	0.0916	0.1353	0.1024	0.1059	0.1132	0.1901	0.1720	0.0747	0.1065	0.0848	0.1827	0.0903	0.0650	0.0845	0.1831	0.1756	0.1153	0.1522	0.1010	0.1546	0.0849	0.0861	0.0671	0.0942	0.1293	0.1497	0.1435	0.0796	0.0682	0.1217	0.0544	0.1002	0.0456	0.0954	0.1684	0.1017	0.0953	0.1360	0.1232	0.0544	0.0683	0.0908	0.1057	0.1018	0.0887	0.0555	0.1343	0.0969	0.2390	0.0691	0.0746	0.0814	0.1100	0.1187	0.0324
central memory CD8+ T cells	0.0345	0.0219	0.0272	0.0053	0.0137	0.0209	0.0107	0.0062	0.0066	0.0028	0.0105	0.0208	0.0061	0.0018	0.0327	0.0112	0.0016	0.0078	0.0005	0.0039	0.0038	0.0185	0.0357	0.0155	0.0500	0.0054	0.0174	0.0107	0.0053	0.0064	0.0081	0.0025	0.0055	0.0076	0.0076	0.0080	0.0076	0.0698	0.0257	0.0246	0.0029	0.0177	0.0200	0.0137	0.0145	0.0118	0.0167	0.0045	0.0081	0.0921	0.0124	0.0118	0.0014	0.0042	0.0743	0.0160	0.0047	0.0276	0.0048	0.0362	0.0100	0.0094	0.0088	0.0186	0.0069	0.0135	0.0118	0.0330	0.0106	0.0275	0.0100	0.0019	0.0198	0.0027	0.0273	0.0091	0.0129	0.0054	0.0054	0.0049	0.0048	0.0024	0.0089	0.0027	0.0181	0.0129	0.0263	0.0072	0.0028	0.0097	0.0052	0.0093	0.0103	0.0064	0.0084	0.0368	0.0065	0.0255	0.0032	0.0026	0.0083	0.0089	0.0008	0.0005
effector CD4+ T cells	0.0132	0.0056	0.0042	0.0123	0.0087	0.0071	0.0095	0.0080	0.0141	0.0148	0.0404	0.0401	0.0374	0.0326	0.0141	0.0025	0.0578	0.0062	0.0138	0.0416	0.0169	0.0152	0.0100	0.0319	0.0085	0.0412	0.0024	0.0062	0.0421	0.0034	0.0280	0.0184	0.0272	0.0384	0.0389	0.0815	0.0052	0.0059	0.0050	0.0040	0.0134	0.0033	0.0064	0.0102	0.0039	0.0064	0.0030	0.0071	0.0197	0.0057	0.0018	0.0139	0.0146	0.0075	0.0002	0.0022	0.0070	0.0055	0.0034	0.0011	0.0218	0.0014	0.0154	0.0014	0.0030	0.0020	0.0164	0.0194	0.0033	0.0128	0.0276	0.0030	0.0111	0.0062	0.0084	0.0061	0.0070	0.0149	0.0039	0.0074	0.0080	0.0070	0.0036	0.0137	0.0023	0.0110	0.0041	0.0081	0.0086	0.0053	0.0110	0.0156	0.0060	0.0039	0.0023	0.0227	0.0094	0.0070	0.0092	0.0095	0.0096	0.0035	0.0088	0.0110
effector CD8+ T cells	0.0229	0.0326	0.0087	0.0255	0.1165	0.0246	0.0282	0.0546	0.0534	0.0100	0.0623	0.0422	0.0530	0.0162	0.0257	0.0043	0.0708	0.0548	0.0130	0.0162	0.0142	0.0534	0.0882	0.0442	0.0408	0.0166	0.0271	0.0615	0.0248	0.0036	0.0551	0.0074	0.0458	0.0730	0.0341	0.0826	0.0633	0.0229	0.0371	0.0432	0.0625	0.0081	0.0397	0.0418	0.0218	0.0293	0.0330	0.0240	0.0405	0.0261	0.0224	0.0099	0.0022	0.0159	0.0048	0.0115	0.1153	0.0315	0.1575	0.0087	0.0300	0.0061	0.0402	0.0201	0.1261	0.0112	0.0288	0.0716	0.0132	0.0188	0.0215	0.0561	0.0156	0.0182	0.0074	0.0152	0.0602	0.0933	0.0286	0.2895	0.0069	0.1343	0.0677	0.0624	0.0678	0.0191	0.0307	0.2252	0.1033	0.0177	0.2341	0.0181	0.0167	0.0286	0.0134	0.0420	0.1387	0.0582	0.0841	0.0438	0.0615	0.0280	0.0727	0.1052
effector memory CD4+ T cells	0.0550	0.0485	0.0532	0.0443	0.0456	0.0385	0.0300	0.0211	0.0376	0.0222	0.0834	0.0803	0.0606	0.0409	0.0615	0.0422	0.0079	0.0300	0.0179	0.0418	0.0301	0.0808	0.0584	0.0419	0.0716	0.0466	0.0213	0.0159	0.0405	0.0311	0.0357	0.0293	0.0334	0.0204	0.0513	0.0396	0.0282	0.0213	0.0363	0.0400	0.0089	0.0516	0.0523	0.0359	0.0536	0.0419	0.0467	0.0160	0.0093	0.0744	0.0235	0.0386	0.0194	0.0296	0.0019	0.0660	0.0382	0.0255	0.0172	0.0359	0.0747	0.0106	0.0208	0.0319	0.0505	0.0130	0.0638	0.0527	0.0208	0.0176	0.0507	0.0214	0.0361	0.0275	0.0365	0.0307	0.0173	0.0499	0.0199	0.0311	0.0220	0.0239	0.0229	0.0605	0.0271	0.0306	0.0292	0.0647	0.0427	0.0145	0.0323	0.0345	0.0275	0.0276	0.0054	0.0934	0.0196	0.0595	0.0299	0.0284	0.0399	0.0140	0.0604	0.0086
